experiment_name,rouge1_stopwords,rouge2_stopwords,rougeL_stopwords,bleu,bert_score
scitldr_catts,0.4159226417541504,0.21215087175369263,0.3592962920665741,0.027423397809374733,0.696657212039867
scitldr_pegasus,0.3987850248813629,0.20818838477134705,0.3463311195373535,0.1264067389104106,0.6916999266325653
scitldr_t5,0.4031016230583191,0.20849481225013733,0.3510800898075104,0.14284339983362038,0.6962853631415924
scitldr_vanilla,0.4091872572898865,0.199406698346138,0.33924710750579834,0.11305292701108512,0.6994475035311339
scitldr_zero_shot,0.4163830876350403,0.19982632253170013,0.3451690673828125,0.11364701468169776,0.6995133306707654
scitldr_two_shot,0.4447897970676422,0.22332662343978882,0.3748311698436737,0.14427096148641258,0.7078724183238946
