,a_rouge_1s,b_rouge_1s,a_rouge_2s,b_rouge_2s,a_rouge_ls,b_rouge_ls,a_bleus,b_bleus,a_bert_scores,b_bert_scores
59,0.380952388048172,0.4285714328289032,0.31578946113586426,0.25,0.380952388048172,0.380952388048172,0.07928040088482,0.0,0.6420487761497498,0.6719950437545776
60,0.30000001192092896,0.4000000059604645,0.1111111119389534,0.2222222238779068,0.20000000298023224,0.4000000059604645,0.0,0.0,0.7354912161827087,0.7302977442741394
61,0.5714285969734192,0.6086956262588501,0.1666666716337204,0.380952388048172,0.2857142984867096,0.6086956262588501,0.0,0.30603689509300896,0.7135761380195618,0.7758195996284485
62,0.2222222238779068,0.47999998927116394,0.0,0.17391304671764374,0.190476194024086,0.4000000059604645,0.0,0.0,0.5914124250411987,0.7245714068412781
63,0.2857142984867096,0.4137931168079376,0.10526315867900848,0.2222222238779068,0.2857142984867096,0.4137931168079376,0.0,0.0,0.6074284315109253,0.6662890911102295
64,0.375,0.4000000059604645,0.2857142984867096,0.2222222238779068,0.375,0.4000000059604645,0.0,0.0,0.7234702110290527,0.674293577671051
65,0.6000000238418579,0.5384615659713745,0.4000000059604645,0.3333333432674408,0.6000000238418579,0.5384615659713745,0.0,0.23183229599938115,0.7798253297805786,0.7534617781639099
66,0.5555555820465088,0.6666666865348816,0.375,0.5454545617103577,0.47058823704719543,0.6666666865348816,0.0,0.19219636460378056,0.7245698571205139,0.8069727420806885
67,0.47058823704719543,0.5600000023841858,0.31578946113586426,0.2222222238779068,0.380952388048172,0.48275861144065857,0.0,0.0,0.7038871049880981,0.784807562828064
68,0.25,0.23076923191547394,0.0,0.0,0.125,0.20000000298023224,0.0,0.0,0.6155897378921509,0.6277863383293152
69,0.2857142984867096,0.3636363744735718,0.21052631735801697,0.08695652335882187,0.2857142984867096,0.23999999463558197,0.0,0.0,0.5909178256988525,0.6539573669433594
70,0.3529411852359772,0.695652186870575,0.1599999964237213,0.5161290168762207,0.23529411852359772,0.6666666865348816,0.0,0.5201592023534242,0.6322287917137146,0.7877337336540222
