,a_rouge_1s,b_rouge_1s,a_rouge_2s,b_rouge_2s,a_rouge_ls,b_rouge_ls,a_bleus,b_bleus,a_bert_scores,b_bert_scores
104,0.3870967626571655,0.32258063554763794,0.20000000298023224,0.20000000298023224,0.3125,0.32258063554763794,0.0,0.0,0.6227721571922302,0.6494426727294922
105,0.375,0.3478260934352875,0.1538461595773697,0.095238097012043,0.2857142984867096,0.3478260934352875,0.0,0.0,0.6678630113601685,0.7190313339233398
106,0.2702702581882477,0.4000000059604645,0.06451612710952759,0.14814814925193787,0.24242424964904785,0.4000000059604645,0.0,0.0,0.6638839244842529,0.7602483034133911
107,0.3448275923728943,0.2068965584039688,0.0,0.0,0.2068965584039688,0.2068965584039688,0.0,0.0,0.6275250911712646,0.6293314695358276
108,0.25641027092933655,0.4571428596973419,0.0555555559694767,0.24242424964904785,0.20512820780277252,0.4571428596973419,0.0,0.0,0.6293570399284363,0.7105734348297119
109,0.5,0.5517241358757019,0.23529411852359772,0.29629629850387573,0.4444444477558136,0.48275861144065857,0.0,0.0,0.7555771470069885,0.7363846898078918
110,0.5384615659713745,0.4285714328289032,0.0714285746216774,0.1538461595773697,0.23076923191547394,0.2857142984867096,0.13858909661779084,0.0,0.6690620183944702,0.7038750052452087
111,0.5555555820465088,0.8181818127632141,0.529411792755127,0.699999988079071,0.5555555820465088,0.8181818127632141,0.3443180741580481,0.6133706010874769,0.7800326943397522,0.9351341724395752
112,0.4324324429035187,0.4285714328289032,0.22857142984867096,0.23529411852359772,0.37837839126586914,0.3333333432674408,0.12241346949471205,0.0,0.6610032916069031,0.6893751621246338
113,0.5,0.380952388048172,0.21739129722118378,0.20000000298023224,0.4166666567325592,0.3333333432674408,0.14886459693587573,0.0,0.7246229648590088,0.6272832751274109
114,0.8823529481887817,0.46666666865348816,0.5625,0.25,0.7647058963775635,0.4615384638309479,0.6755173970340326,0.0,0.9314395785331726,0.7112051844596863
115,0.2857142984867096,0.30000001192092896,0.06060606241226196,0.0555555559694767,0.22857142984867096,0.20000000298023224,0.0,0.0,0.6685078144073486,0.635625422000885
116,0.5925925970077515,0.4137931168079376,0.4000000059604645,0.14814814925193787,0.37037035822868347,0.3448275923728943,0.21279882820441612,0.0,0.6854604482650757,0.6240522861480713
117,0.42424243688583374,0.375,0.19354838132858276,0.2666666805744171,0.42424243688583374,0.375,0.0,0.0,0.722069501876831,0.6741082668304443
118,0.17391304671764374,0.21052631735801697,0.0,0.0,0.17391304671764374,0.21052631735801697,0.0,0.0,0.6302642226219177,0.6253388524055481
119,0.7272727489471436,0.2777777910232544,0.7096773982048035,0.07999999821186066,0.7272727489471436,0.2222222238779068,0.36162373902647693,0.0,0.8096228837966919,0.6301826238632202
120,0.2857142984867096,0.25,0.12121212482452393,0.0833333358168602,0.2857142984867096,0.1666666716337204,0.13585813340607317,0.0,0.6735053658485413,0.6520256400108337
121,0.5161290168762207,0.48275861144065857,0.27586206793785095,0.29629629850387573,0.5161290168762207,0.48275861144065857,0.0,0.0,0.699271023273468,0.6919325590133667
122,0.23999999463558197,0.5,0.08695652335882187,0.09090909361839294,0.23999999463558197,0.3333333432674408,0.0,0.0,0.622818112373352,0.7135018706321716
123,0.4615384638309479,0.4864864945411682,0.3333333432674408,0.23076923191547394,0.4615384638309479,0.4324324429035187,0.0,0.0,0.6512619256973267,0.6830927133560181
124,0.3333333432674408,0.46666666865348816,0.2142857164144516,0.2142857164144516,0.3333333432674408,0.3333333432674408,0.1437791910008819,0.0,0.6715255379676819,0.6896508932113647
125,0.30434781312942505,0.23529411852359772,0.0,0.0,0.08695652335882187,0.11764705926179886,0.0,0.0,0.6424524784088135,0.6094424724578857
126,0.1818181872367859,0.3571428656578064,0.0,0.1538461595773697,0.12121212482452393,0.3571428656578064,0.0,0.0,0.6345921158790588,0.7037201523780823
127,0.4285714328289032,0.3870967626571655,0.1599999964237213,0.1818181872367859,0.3571428656578064,0.3333333432674408,0.0,0.0,0.7132436633110046,0.6696021556854248
128,0.5,0.4375,0.27272728085517883,0.0,0.5,0.3030303120613098,0.3037643089519314,0.0,0.7405402660369873,0.7083287835121155
